student_id,study_hours,attendance_pct,previous_gpa,sleep_hours,extracurricular,tutoring_sessions,grade
1,8.61,91.9,3.69,7.14,No,6,A
2,5.08,53.0,2.5,4.51,No,4,C
3,15.0,92.8,3.34,7.55,No,7,A
4,2.4,54.6,1.46,7.11,No,2,F
5,4.13,77.9,1.97,7.68,No,2,C
6,6.94,59.3,3.1,6.3,Yes,2,C
7,1.0,52.4,1.69,3.94,Yes,2,F
8,3.98,85.5,3.6,6.88,Yes,2,B
9,4.35,52.9,2.23,,Yes,2,C
10,3.15,73.2,1.37,6.72,No,3,C
11,8.65,59.6,2.05,9.5,No,5,C
12,5.82,50.3,1.62,5.57,No,3,F
13,5.03,76.3,2.26,6.4,No,1,F
14,5.56,45.0,2.15,4.64,No,4,C
15,1.37,51.1,2.26,6.99,No,0,F
16,3.69,40.0,1.62,6.95,No,1,F
17,2.55,58.0,2.16,3.63,No,1,F
18,7.91,88.7,3.81,9.02,Yes,3,B
19,6.92,75.8,3.17,8.88,Yes,4,B
20,6.66,60.7,2.51,5.53,Yes,1,C
21,11.64,70.6,3.48,8.34,No,6,B
22,8.98,86.6,2.0,8.02,Yes,4,B
23,11.1,91.8,3.31,4.89,Yes,5,B
24,2.57,79.6,2.94,4.69,No,2,C
25,5.86,63.2,2.21,5.66,No,2,C
26,7.85,82.9,2.94,7.41,No,4,C
27,6.87,75.1,2.97,9.25,Yes,4,B
28,13.9,83.9,3.57,10.0,Yes,7,A
29,1.5,59.2,1.99,8.61,Yes,0,C
30,8.98,90.7,3.91,6.68,Yes,3,B
31,1.48,70.4,1.7,5.63,No,0,F
32,8.15,81.2,3.36,6.79,Yes,7,B
33,12.32,95.3,3.34,6.33,Yes,7,A
34,8.99,70.4,3.14,6.25,No,6,B
35,5.55,71.8,2.0,6.1,Yes,3,C
36,2.51,49.4,2.11,6.4,No,0,C
37,4.46,64.6,2.83,6.88,No,2,C
38,9.14,72.0,2.97,9.35,Yes,5,B
39,9.13,71.8,3.31,8.56,No,7,B
40,4.45,53.0,2.37,6.02,Yes,3,C
41,13.03,88.5,3.87,6.25,Yes,6,A
42,1.0,53.2,2.13,7.0,No,2,F
43,8.27,70.2,3.42,9.39,Yes,5,B
44,8.49,80.9,2.74,6.15,Yes,4,B
45,10.56,94.6,3.75,,Yes,4,A
46,10.2,97.8,3.42,7.06,Yes,7,A
47,3.47,79.4,2.22,5.39,Yes,2,C
48,2.95,73.6,3.25,7.79,No,3,C
49,6.55,79.3,2.09,6.0,No,3,C
50,8.99,76.7,2.96,5.97,Yes,4,B
51,5.52,76.7,2.78,7.45,Yes,4,B
52,5.3,78.9,3.03,,No,4,C
53,4.52,79.0,3.21,7.94,No,1,C
54,7.38,73.7,2.68,7.55,No,3,C
55,6.87,60.8,3.34,6.69,No,2,C
56,6.11,58.4,2.16,5.5,Yes,3,C
57,13.22,78.7,3.26,8.73,No,6,B
58,4.61,68.3,2.43,8.05,Yes,4,C
59,2.25,45.8,1.41,7.18,No,3,F
60,12.1,84.0,3.08,9.01,Yes,6,B
61,7.08,51.7,2.39,4.36,No,3,C
62,8.77,48.4,2.02,5.52,Yes,3,C
63,3.53,63.2,2.76,4.52,Yes,1,F
64,4.1,56.6,1.0,6.77,No,2,F
65,7.47,81.4,2.8,5.38,No,2,C
66,8.7,68.0,3.12,8.53,No,3,C
67,8.96,78.0,3.7,6.58,Yes,5,B
68,3.11,77.2,3.5,4.53,No,3,C
69,6.5,77.3,2.47,6.08,No,3,C
70,6.97,91.8,3.97,8.29,Yes,6,A
71,3.2,61.9,2.32,5.42,Yes,2,F
72,1.5,78.9,2.33,6.09,Yes,1,C
73,7.18,71.0,3.3,7.54,Yes,3,B
74,1.02,40.0,1.9,4.3,No,1,F
75,4.41,70.4,2.67,4.65,Yes,3,C
76,4.79,76.8,2.27,4.98,Yes,3,C
77,9.01,83.1,2.67,6.77,Yes,6,B
78,6.5,77.2,2.99,6.75,Yes,5,C
79,7.95,75.9,3.44,9.14,No,3,C
80,8.04,73.2,3.11,7.88,Yes,4,B
81,2.33,76.5,1.93,5.44,No,2,C
82,9.93,92.6,3.62,8.71,Yes,6,A
83,3.93,67.8,1.0,4.46,No,1,F
84,15.0,100.0,3.57,7.56,Yes,8,A
85,3.78,58.7,2.1,4.94,Yes,1,F
86,10.45,75.6,3.26,6.19,Yes,4,C
87,5.13,51.5,1.95,5.42,No,3,F
88,7.13,74.8,3.05,9.49,Yes,3,B
89,9.52,97.0,3.38,7.67,Yes,6,A
90,6.07,75.3,2.76,8.89,No,3,C
91,13.99,95.8,3.99,7.35,No,6,A
92,11.38,89.0,3.44,7.33,Yes,6,A
93,2.97,90.3,3.16,7.63,No,3,C
94,7.51,93.3,2.88,5.6,Yes,5,B
95,4.91,57.0,2.53,8.19,No,3,C
96,9.69,89.2,3.41,7.92,Yes,5,A
97,4.54,71.8,2.56,7.82,No,2,C
98,10.06,79.5,2.57,7.56,Yes,4,B
99,7.19,95.0,2.12,9.5,No,4,C
100,8.96,96.5,3.42,6.71,No,4,A
101,9.82,79.2,2.99,6.98,Yes,4,B
102,9.66,90.8,2.01,4.79,No,3,C
103,5.96,85.2,3.26,,No,3,C
104,7.41,85.6,2.73,7.6,Yes,2,B
105,11.12,69.9,3.39,7.16,No,7,B
106,6.57,81.4,2.01,6.04,Yes,5,B
107,8.3,69.4,2.12,7.16,Yes,4,C
108,3.49,72.5,1.92,4.3,No,4,C
109,9.76,85.0,2.18,8.03,No,5,B
110,13.21,92.7,3.68,7.25,No,6,A
111,1.67,62.0,2.52,6.49,No,0,F
112,12.72,97.3,3.42,9.12,Yes,6,A
113,3.1,77.6,,5.52,No,3,C
114,3.08,68.2,2.49,8.41,No,3,C
115,3.91,80.0,1.73,3.9,No,2,F
116,3.07,80.0,1.43,4.69,Yes,3,F
117,6.52,86.1,2.96,7.4,No,4,B
118,7.62,89.0,3.47,7.1,Yes,3,B
119,8.92,82.5,2.97,5.55,Yes,4,B
120,12.74,71.9,3.09,7.81,Yes,6,B
121,4.81,51.4,2.35,6.75,No,1,F
122,3.3,73.3,2.01,5.79,No,0,F
123,10.14,70.7,3.13,4.61,Yes,5,B
124,10.4,95.7,3.94,6.98,Yes,4,A
125,6.43,60.3,1.92,4.52,No,4,C
126,8.35,72.3,3.31,7.86,Yes,3,B
127,7.08,87.0,3.87,6.51,Yes,5,B
128,8.03,85.0,2.91,6.86,Yes,3,B
129,6.33,65.5,2.63,7.57,No,4,C
130,9.33,88.8,3.63,7.68,Yes,8,B
131,11.43,77.0,2.21,7.44,Yes,5,B
132,6.42,69.2,2.36,7.59,No,2,C
133,11.56,79.8,,4.63,Yes,6,B
134,7.32,57.5,2.01,7.51,No,3,F
135,5.06,68.0,2.86,4.85,No,2,C
136,6.44,65.2,3.09,5.77,Yes,2,C
137,3.37,42.6,1.95,5.3,No,1,F
138,4.35,62.6,2.68,7.02,No,2,C
139,8.1,78.3,3.07,5.53,Yes,4,B
140,4.95,78.1,2.02,7.16,No,2,C
141,7.42,60.3,2.45,4.55,No,2,C
142,10.99,73.5,3.21,5.52,Yes,5,B
143,8.25,76.4,2.95,8.14,No,4,B
144,6.87,56.2,2.23,5.62,Yes,3,C
145,1.0,53.6,1.58,,No,0,F
146,14.45,89.1,4.0,6.24,Yes,8,A
147,1.9,51.1,1.25,5.7,Yes,0,F
148,11.67,87.2,3.93,9.82,Yes,5,A
149,11.34,92.3,3.51,6.13,Yes,6,A
150,13.03,90.1,4.0,8.02,Yes,5,A
151,9.04,88.6,3.55,6.87,Yes,3,B
152,2.51,57.8,2.2,6.43,No,1,F
153,6.1,69.0,2.26,8.49,No,3,C
154,9.48,65.4,2.05,6.56,Yes,5,C
155,13.08,91.9,4.0,7.91,Yes,5,A
156,3.47,40.0,2.17,7.59,Yes,3,F
157,3.18,59.0,2.2,6.75,No,1,F
158,4.31,66.9,2.28,4.08,Yes,1,F
159,7.66,87.2,3.21,6.77,Yes,4,B
160,9.05,72.6,3.83,6.83,Yes,4,B
161,14.33,85.5,4.0,7.41,Yes,7,A
162,9.49,72.3,3.89,6.9,Yes,4,B
163,8.18,80.6,2.99,8.17,Yes,3,B
164,2.92,61.4,2.67,6.64,No,2,C
165,14.19,99.5,3.73,7.66,No,8,A
166,6.32,91.9,3.07,6.22,Yes,2,B
167,10.84,84.0,3.75,8.33,Yes,5,B
168,1.65,62.7,2.06,5.6,No,0,F
169,8.43,86.2,2.99,8.15,Yes,5,B
170,2.68,58.0,1.54,3.0,No,2,F
171,8.46,61.7,3.15,7.45,No,6,C
172,7.13,74.0,2.05,7.99,Yes,2,C
173,8.9,89.8,3.96,7.7,Yes,5,B
174,11.07,91.7,3.75,7.43,No,7,A
175,7.14,69.3,1.59,5.28,No,4,C
176,11.51,100.0,3.53,5.35,Yes,6,A
177,7.81,59.9,2.75,9.06,No,4,C
178,10.2,82.5,3.47,9.03,Yes,4,B
179,2.06,78.0,3.21,7.5,No,0,C
180,3.6,73.5,2.23,9.5,No,2,C
181,10.73,92.8,3.35,7.07,Yes,5,A
182,8.75,87.3,2.41,7.45,Yes,4,B
183,11.12,85.2,3.55,8.31,Yes,5,A
184,10.55,83.4,3.13,9.36,Yes,6,B
185,6.86,77.7,3.67,7.93,Yes,3,B
186,3.01,67.7,1.85,5.13,No,0,F
187,11.21,75.3,2.9,7.01,Yes,6,B
188,12.07,97.3,4.0,8.92,Yes,6,A
189,6.58,68.6,2.21,5.71,No,4,C
190,9.64,81.3,3.27,6.34,Yes,4,B
191,5.34,76.0,2.64,8.04,No,2,C
192,7.54,100.0,3.92,6.19,Yes,5,A
193,5.97,67.2,3.07,5.56,No,3,C
194,6.85,87.0,2.17,5.23,Yes,6,B
195,5.26,71.7,1.63,8.91,Yes,3,F
196,3.56,79.8,2.89,6.93,No,3,C
197,11.03,89.1,3.17,8.04,No,5,B
198,12.45,82.4,3.44,7.55,Yes,6,B
199,9.19,65.1,2.06,6.22,No,4,C
200,3.57,89.4,1.21,5.42,Yes,4,C
201,11.79,85.6,3.72,7.34,Yes,7,B
202,6.32,47.3,1.51,8.1,No,3,C
203,4.19,51.1,2.01,5.77,Yes,2,F
204,5.53,66.8,2.7,7.6,Yes,3,C
205,3.25,66.3,2.87,4.32,Yes,3,C
206,6.5,80.4,2.59,8.64,No,1,C
207,6.81,90.4,3.54,8.27,Yes,5,A
208,8.02,80.5,2.82,7.79,Yes,4,B
209,7.71,100.0,2.0,8.53,Yes,4,B
210,4.38,74.1,2.03,6.55,No,2,C
211,6.38,73.9,2.75,5.6,Yes,5,B
212,10.07,83.1,2.72,7.36,No,3,B
213,14.28,92.6,3.75,6.88,Yes,6,A
214,9.73,76.3,1.87,7.45,No,4,C
215,6.67,62.5,,8.0,No,2,C
216,7.59,83.5,2.08,7.08,Yes,5,B
217,6.19,54.0,2.39,5.64,No,3,F
218,12.05,96.0,3.24,,Yes,5,A
219,6.11,81.2,2.62,6.31,Yes,3,B
220,7.0,64.7,,6.59,No,4,C
221,10.85,68.1,2.83,,Yes,4,B
222,3.68,70.3,3.46,7.84,No,3,C
223,3.91,79.6,2.83,7.53,Yes,2,B
224,9.89,72.4,3.2,8.02,Yes,5,B
225,3.0,80.9,2.92,7.87,Yes,2,B
226,1.29,47.2,2.1,5.0,No,0,F
227,3.85,48.0,1.96,3.0,No,2,F
228,3.1,70.1,2.69,7.92,No,1,C
